Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Daniel Gafford,32,32,919,214,324,0.66,214,324,0.66,0,0,0,114,193,0.591,91,186,277,23,30,65,76,88,542
2,Isaiah Joe,34,34,1024,148,358,0.413,35,85,0.412,113,273,0.414,62,82,0.756,21,73,94,58,51,5,42,64,471
3,Mason Jones,34,26,996,136,337,0.404,60,129,0.465,76,208,0.365,115,143,0.804,18,114,132,96,31,5,61,77,463
4,Jalen Harris,34,34,1046,85,249,0.341,77,180,0.428,8,69,0.116,82,119,0.689,18,80,98,189,38,6,66,75,260
5,Adrio Bailey,34,26,634,76,171,0.444,74,159,0.465,2,12,0.167,36,57,0.632,27,74,101,25,25,25,27,89,190
6,Reggie Chaney,34,2,555,83,150,0.553,83,150,0.553,0,0,0,17,33,0.515,40,78,118,25,21,46,46,82,183
7,Desi Sills,34,8,582,55,125,0.44,26,62,0.419,29,63,0.46,40,57,0.702,12,31,43,58,21,0,53,68,179
8,Keyshawn Embery-Simpson,33,0,483,47,136,0.346,24,51,0.471,23,85,0.271,18,26,0.692,9,29,38,21,24,2,22,42,135
9,Gabe Osabuohien,34,8,509,38,116,0.328,32,86,0.372,6,30,0.2,24,51,0.471,47,61,108,46,31,16,39,95,106
10,Ethan Henderson,12,0,51,5,10,0.5,5,10,0.5,0,0,0,1,3,0.333,3,9,12,1,3,2,3,6,11
11,Jordan Phillips,7,0,38,3,20,0.15,3,14,0.214,0,6,0,4,4,1,1,4,5,1,1,0,2,6,10
12,Jonathan Holmes,5,0,11,2,7,0.286,0,2,0,2,5,0.4,0,0,0,0,0,0,0,0,0,1,1,6
13,Ty Stevens,2,0,2,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3
0,School Totals,34,0,6850,893,2004,0.446,634,1253,0.506,259,751,0.345,514,769,0.668,345,807,1152,543,276,172,450,693,2559
