Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mason Jones,31,30,1050,191,422,0.453,123,228,0.539,68,194,0.351,233,282,0.826,22,147,169,106,50,6,99,101,683
2,Jimmy Whitt,32,32,1181,181,372,0.487,181,371,0.488,0,1,0,87,123,0.707,41,123,164,69,44,14,44,74,449
3,Isaiah Joe,26,25,939,132,360,0.367,38,85,0.447,94,275,0.342,81,91,0.89,14,93,107,45,37,7,45,48,439
4,Desi Sills,32,24,997,117,275,0.425,70,132,0.53,47,143,0.329,59,91,0.648,20,75,95,39,30,5,44,96,340
5,Adrio Bailey,32,30,727,76,157,0.484,61,118,0.517,15,39,0.385,35,67,0.522,35,106,141,19,39,45,37,105,202
6,Jalen Harris,32,5,777,40,107,0.374,23,46,0.5,17,61,0.279,38,51,0.745,10,58,68,76,28,8,47,81,135
7,Reggie Chaney,29,7,424,49,73,0.671,49,73,0.671,0,0,,20,38,0.526,39,58,97,19,18,16,29,68,118
8,Ethan Henderson,20,6,184,12,21,0.571,12,21,0.571,0,0,,7,17,0.412,16,30,46,4,4,16,2,32,31
9,Jeantal Cylla,28,1,202,10,35,0.286,8,22,0.364,2,13,0.154,7,13,0.538,8,31,39,4,3,4,12,30,29
10,Jamario Bell,4,0,7,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,3,0,3,0
11,Emeka Obukwelu,6,0,6,0,2,0,0,0,,0,2,0,0,0,,2,3,5,0,0,0,0,0,0
12,Ty Stevens,6,0,6,0,1,0,0,1,0,0,0,,0,3,0,0,0,0,0,0,0,0,0,0
,School Totals,32,,6500,808,1825,0.443,565,1097,0.515,243,728,0.334,567,776,0.731,239,771,1010,381,253,124,369,638,2426
